Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	-7,e-003	0,	-4,e-003	
5	-7,e-003	0,	1,e-003	
6	-7,e-003	0,	-3,e-003	
7	-7,e-003	0,	-2,e-003	
8	-7,e-003	0,	-1,e-003	
9	-7,e-003	0,	8,6736e-018	
10	8,e-003	0,	1,e-003	
24	8,e-003	0,	-4,e-003	
25	8,e-003	0,	-3,e-003	
26	8,e-003	0,	-2,e-003	
27	8,e-003	0,	-1,e-003	
28	8,e-003	0,	8,6736e-018	
